iter	RMSE
0	0.3783607572
1	0.3757740153
2	0.3736261357
3	0.3715296663
4	0.3694531461
5	0.3677400012
6	0.3659752644
7	0.3645176472
8	0.3631505902
9	0.3619450108
10	0.3607775893
11	0.3596849161
12	0.3587658408
13	0.3577209279
14	0.3568398307
15	0.3559615629
16	0.3552297604
17	0.3544447056
18	0.3537381715
19	0.3531607206
20	0.3526183338
21	0.3521230485
22	0.3516136554
23	0.3511312552
24	0.3506760722
25	0.3502484658
26	0.3499602734
27	0.3495050963
28	0.3491005226
29	0.3487216833
30	0.3483122179
31	0.3480248955
32	0.3478180795
33	0.3475020013
34	0.3472366197
35	0.347023179
36	0.3467648247
37	0.3465050094
38	0.3462861634
39	0.3460485533
40	0.3457663753
41	0.3455114986
42	0.3453521532
43	0.3452251793
44	0.3450105401
45	0.3448260579
46	0.3447054261
47	0.3445589527
48	0.3443584283
49	0.3441887211
50	0.344044357
51	0.343884108
52	0.3437756616
53	0.3435986137
54	0.3434797689
55	0.343328509
56	0.3431811277
57	0.3430606977
58	0.3429186901
59	0.3428868219
60	0.3427876424
61	0.3426756802
62	0.3425093468
63	0.3424086313
64	0.3423272269
65	0.3422044162
66	0.3421315488
67	0.3420036591
68	0.3419073763
69	0.3418126423
70	0.3417372495
71	0.3416697608
72	0.3415482542
73	0.3414684293
74	0.3413728442
75	0.3412779196
76	0.3411875193
77	0.3410887351
78	0.3410250984
79	0.340990357
80	0.3409147729
81	0.3409136209
82	0.340856668
83	0.3408554269
84	0.3407748999
85	0.3406879391
86	0.3405911332
87	0.3405900709
88	0.3404448135
89	0.340396193
90	0.3403535003
91	0.340288572
92	0.3402147347
93	0.3401054926
94	0.3400178138
95	0.3399529476
96	0.3398926944
97	0.339824375
98	0.3397804944
99	0.3397387769
100	0.3397026467
101	0.3395957895
102	0.3395407797
103	0.339481943
104	0.3394497493
105	0.339413277
106	0.3394091762
107	0.3393521321
108	0.3392658994
109	0.3392156825
110	0.3391320415
111	0.3390771904
112	0.3390038537
113	0.3389401912
114	0.3388128077
115	0.3387471635
116	0.3386746912
117	0.338625619
118	0.3385782047
119	0.3385144149
120	0.338446472
121	0.3383973724
122	0.338375505
123	0.3382882493
124	0.3382151847
125	0.3381727712
126	0.3381091045
127	0.3380530484
128	0.3379510622
129	0.3379095673
130	0.3378562405
131	0.3378107432
132	0.3377642138
133	0.3377305776
134	0.3376858263
135	0.3376506425
136	0.3376118423
137	0.3376097034
138	0.3375683512
139	0.3374792104
140	0.3374334106
141	0.3373971
142	0.3373686494
143	0.3373310954
144	0.3372754645
145	0.3372394564
146	0.3371941134
147	0.337126074
148	0.3370812777
149	0.3370352004
150	0.3369869831
151	0.3369610819
152	0.3368907414
153	0.3368397278
154	0.3367414542
155	0.3366391198
156	0.3365938162
157	0.3365644568
158	0.3364916845
159	0.3364820972
160	0.336421044
161	0.3363750138
162	0.3363346679
163	0.336299384
164	0.3362472868
165	0.3361898733
166	0.3361699877
167	0.3360718751
168	0.3360671207
169	0.3360253925
170	0.3360218745
171	0.3359572314
172	0.3359048089
173	0.33584183
174	0.3358016865
175	0.335749636
176	0.3357091012
177	0.3356839531
178	0.3356605353
179	0.3356238569
180	0.3355834956
181	0.3355516453
182	0.3355017147
183	0.3354936814
184	0.3354150749
185	0.3353619212
186	0.3352830337
187	0.3352409037
188	0.3352218954
189	0.3351705108
190	0.3351203692
191	0.335054167
192	0.3350308169
193	0.3349467203
194	0.3348798298
195	0.3348459151
196	0.3347910639
197	0.334755985
198	0.3347171598
199	0.3346608462
200	0.3346003809
201	0.3345042046
202	0.3344562323
203	0.3344137958
204	0.3343718385
205	0.3342881924
206	0.3342544596
207	0.3341907365
208	0.3341130753
209	0.3339853503
210	0.3339488196
211	0.3339211673
212	0.3338644246
213	0.3338322184
214	0.3337852443
215	0.3337301372
216	0.3336947352
217	0.3336723656
218	0.3336276469
219	0.3335799138
220	0.3335524759
221	0.3335202237
222	0.333453795
223	0.3333888483
224	0.333355299
225	0.3333353763
226	0.3333148596
227	0.3332991587
228	0.3332922972
229	0.3332186348
230	0.3331657512
231	0.3330920235
232	0.3330605139
233	0.333002761
234	0.3329236816
235	0.3328821708
236	0.3328033428
237	0.3327581822
238	0.3327466147
239	0.3326701702
240	0.3326206045
241	0.3325615832
242	0.3325489887
243	0.3325314273
244	0.3324712585
245	0.3324556657
246	0.3324207646
247	0.3323528231
248	0.3323248969
249	0.3323072435
250	0.3322548314
251	0.3321887688
252	0.3321649951
253	0.3321126367
254	0.33202934
255	0.3319772769
256	0.3319196092
257	0.3318520765
258	0.3318030502
259	0.3317651602
260	0.3317257763
261	0.3316726081
262	0.3315891089
263	0.3314974829
264	0.331496052
265	0.3314939154
266	0.3314649662
267	0.3314077096
268	0.3313556731
269	0.3313440303
270	0.3313111163
271	0.3312932192
272	0.3312572155
273	0.3311797005
274	0.3311439456
275	0.331127721
276	0.3310771016
277	0.3310355288
278	0.3309558777
279	0.3309334357
280	0.3308725768
281	0.3308506427
282	0.3308374698
283	0.3307832167
284	0.3307071076
285	0.3306629674
286	0.3306489611
287	0.3305827547
288	0.3305067611
289	0.3304103455
290	0.3304009234
291	0.3303393855
292	0.3303167359
293	0.3302621702
294	0.3302157661
295	0.3301977972
296	0.3301464351
297	0.3301223708
298	0.3300716142
299	0.3300178733
300	0.3299497473
301	0.329911152
302	0.3298585204
303	0.3298021794
304	0.3297556902
305	0.3296929716
