iter	Passed	Remaining
0	52	31470
1	58	17450
2	62	12511
3	70	10552
4	73	8760
5	76	7561
6	80	6811
7	83	6155
8	85	5642
9	88	5236
10	93	4986
11	96	4705
12	98	4460
13	101	4254
14	104	4071
15	107	3910
16	110	3802
17	114	3693
18	116	3572
19	120	3491
20	123	3415
21	126	3324
22	129	3260
23	132	3180
24	135	3108
25	137	3042
26	139	2953
27	141	2896
28	144	2853
29	147	2804
30	150	2758
31	152	2713
32	155	2671
33	158	2631
34	160	2594
35	163	2558
36	166	2525
37	168	2493
38	174	2506
39	176	2476
40	179	2452
41	182	2425
42	185	2400
43	187	2374
44	190	2350
45	193	2326
46	195	2304
47	198	2281
48	201	2261
49	203	2241
50	206	2221
51	208	2202
52	211	2184
53	214	2166
54	216	2148
55	219	2130
56	221	2114
57	224	2097
58	227	2082
59	228	2056
60	231	2041
61	233	2026
62	236	2013
63	238	2000
64	241	1986
65	243	1974
66	246	1961
67	249	1950
68	252	1945
69	255	1935
70	258	1929
71	261	1918
72	265	1915
73	269	1912
74	271	1901
75	274	1891
76	277	1887
77	280	1876
78	282	1863
79	284	1849
80	287	1844
81	288	1824
82	291	1816
83	292	1797
84	295	1789
85	298	1782
86	301	1777
87	302	1759
88	305	1752
89	307	1742
90	309	1732
91	312	1723
92	314	1713
93	316	1704
94	319	1697
95	321	1690
96	324	1683
97	327	1675
98	329	1665
99	331	1659
100	334	1651
101	336	1643
102	339	1637
103	342	1632
104	344	1623
105	347	1617
106	349	1608
107	351	1602
108	354	1596
109	356	1586
110	358	1580
111	361	1574
112	364	1569
113	366	1563
114	370	1560
115	373	1558
116	376	1552
117	377	1542
118	380	1537
119	383	1532
120	386	1528
121	388	1523
122	391	1517
123	394	1512
124	396	1507
125	399	1503
126	402	1498
127	404	1493
128	407	1488
129	410	1483
130	412	1478
131	415	1473
132	418	1468
133	420	1463
134	423	1458
135	425	1453
136	428	1448
137	429	1438
138	432	1433
139	435	1431
140	438	1427
141	441	1422
142	443	1417
143	446	1413
144	448	1408
145	451	1403
146	453	1398
147	456	1394
148	459	1389
149	461	1385
150	464	1380
151	467	1376
152	469	1372
153	472	1367
154	474	1363
155	477	1359
156	480	1354
157	483	1352
158	486	1349
159	487	1340
160	490	1336
161	492	1332
162	495	1328
163	498	1324
164	500	1320
165	503	1316
166	504	1308
167	507	1304
168	508	1297
169	512	1295
170	513	1288
171	515	1283
172	518	1279
173	521	1276
174	523	1272
175	526	1267
176	529	1264
177	532	1262
178	535	1259
179	537	1255
180	540	1251
181	543	1247
182	545	1244
183	547	1238
184	550	1234
185	553	1231
186	556	1229
187	559	1225
188	561	1221
189	564	1218
190	567	1214
191	569	1210
192	572	1206
193	574	1202
194	577	1198
195	579	1195
196	582	1191
197	584	1187
198	587	1183
199	590	1180
200	592	1176
201	595	1173
202	598	1170
203	601	1166
204	603	1163
205	606	1159
206	608	1155
207	611	1152
208	614	1149
209	617	1145
210	619	1142
211	622	1138
212	624	1135
213	627	1131
214	629	1127
215	632	1124
216	635	1120
217	637	1117
218	640	1113
219	642	1110
220	645	1106
221	647	1102
222	650	1099
223	653	1096
224	655	1092
225	657	1088
226	660	1085
227	662	1081
228	665	1077
229	668	1074
230	670	1071
231	673	1068
232	675	1064
233	678	1061
234	681	1057
235	684	1055
236	686	1052
237	690	1050
238	692	1046
239	695	1043
240	698	1039
241	700	1036
242	703	1034
243	706	1031
244	709	1027
245	712	1025
246	715	1021
247	717	1018
248	719	1014
249	721	1010
250	724	1006
251	726	1002
252	728	998
253	730	994
254	732	991
255	734	987
256	737	983
257	739	980
258	742	977
259	745	975
260	748	971
261	750	968
262	753	965
263	755	962
264	757	957
265	758	952
266	761	949
267	763	946
268	767	943
269	769	941
270	772	938
271	775	934
272	777	931
273	780	928
274	782	925
275	785	921
276	789	920
277	792	918
278	795	915
279	798	912
280	801	909
281	805	907
282	807	904
283	810	901
284	812	898
285	815	895
286	818	892
287	820	889
288	823	886
289	826	883
290	828	880
291	831	876
292	833	873
293	836	870
294	839	867
295	841	864
296	844	861
297	847	858
298	850	855
299	852	852
300	855	849
301	858	846
302	860	843
303	863	840
304	865	837
305	868	834
306	870	830
307	872	827
308	875	824
309	877	821
310	880	818
311	882	814
312	885	811
313	888	808
314	890	805
315	893	802
316	895	799
317	898	796
318	901	793
319	903	790
320	906	787
321	908	784
322	911	781
323	914	778
324	917	776
325	919	772
326	922	769
327	924	766
328	927	763
329	929	760
330	932	757
331	935	754
332	937	751
333	940	748
334	942	745
335	945	742
336	948	739
337	950	736
338	953	733
339	954	730
340	957	726
341	959	723
342	962	721
343	965	718
344	967	715
345	970	712
346	972	709
347	975	706
348	977	703
349	980	700
350	982	697
351	985	694
352	987	691
353	990	688
354	993	685
355	995	682
356	998	679
357	1000	676
358	1003	673
359	1005	670
360	1008	667
361	1011	664
362	1013	661
363	1016	658
364	1018	655
365	1021	652
366	1023	650
367	1026	647
368	1029	644
369	1031	641
370	1034	638
371	1036	635
372	1039	632
373	1041	629
374	1044	626
375	1047	623
376	1049	620
377	1052	618
378	1057	616
379	1060	614
380	1064	611
381	1066	608
382	1069	605
383	1071	602
384	1074	600
385	1077	597
386	1079	594
387	1082	591
388	1084	588
389	1087	585
390	1089	582
391	1093	580
392	1096	577
393	1099	574
394	1102	572
395	1104	569
396	1107	566
397	1109	563
398	1112	560
399	1115	557
400	1118	555
401	1121	552
402	1124	549
403	1127	546
404	1130	544
405	1132	541
406	1135	538
407	1137	535
408	1142	533
409	1145	530
410	1147	527
411	1150	524
412	1153	522
413	1155	519
414	1158	516
415	1160	513
416	1164	510
417	1167	508
418	1169	505
419	1172	502
420	1175	499
421	1177	496
422	1180	493
423	1183	491
424	1186	488
425	1188	485
426	1191	482
427	1193	479
428	1196	476
429	1199	474
430	1201	471
431	1204	468
432	1206	465
433	1209	462
434	1211	459
435	1214	456
436	1217	454
437	1220	451
438	1222	448
439	1225	445
440	1228	442
441	1230	439
442	1233	437
443	1235	434
444	1238	431
445	1240	428
446	1243	425
447	1246	422
448	1248	419
449	1251	417
450	1253	414
451	1256	411
452	1258	408
453	1261	405
454	1263	402
455	1266	399
456	1269	397
457	1271	394
458	1275	391
459	1277	388
460	1280	386
461	1283	383
462	1286	380
463	1288	377
464	1291	374
465	1293	371
466	1296	369
467	1298	366
468	1301	363
469	1304	360
470	1307	357
471	1309	355
472	1312	352
473	1316	349
474	1319	347
475	1321	344
476	1323	341
477	1326	338
478	1328	335
479	1331	332
